molecule_chembl_id,smiles,standard_units,pIC50,standard_value,type,units,value
CHEMBL3640407,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(NC(=O)C4CCN(C)CC4)c3)NC(=O)NC1=O)C2,nM,6.524,299.0,IC50,nM,299.0
CHEMBL3640408,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(NC(=O)C4CCN(C)CC4)cc3)NC(=O)NC1=O)C2,nM,7.108,78.0,IC50,nM,78.0
CHEMBL3640409,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(C(=O)N4CCN(C)CC4)ccc3OC)NC(=O)NC1=O)C2,nM,5.529,2961.0,IC50,nM,2961.0
CHEMBL3640410,CCN1CCN(C(=O)c2ccc(OC)c(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)n2)CC1,nM,6.206,622.0,IC50,nM,622.0
CHEMBL3640412,CCNc1nnc(-c2ccc(OC)c(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)n2)o1,nM,6.046,899.0,IC50,nM,899.0
CHEMBL3640413,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4cn[nH]c4=O)cc3)NC(=O)NC1=O)C2,nM,6.269,538.0,IC50,nM,538.0
CHEMBL3640414,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4c(C)n[nH]c4=O)cc3)NC(=O)NC1=O)C2,nM,6.614,243.0,IC50,nM,243.0
CHEMBL3640415,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4c(-c5cccnc5)n[nH]c4=O)cc3)NC(=O)NC1=O)C2,nM,6.588,258.0,IC50,nM,258.0
CHEMBL3640416,CCN1CCN(C(=O)C2CCC(=O)N2c2ccc(OC)c(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)n2)CC1,nM,5.473,3363.0,IC50,nM,3363.0
CHEMBL3640417,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccccc3C=O)NC(=O)NC1=O)C2,nM,6.029,936.0,IC50,nM,936.0
CHEMBL3640418,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nnc(N)o4)cc3)NC(=O)NC1=O)C2,nM,6.613,244.0,IC50,nM,244.0
CHEMBL3640419,CCNc1nnc(-c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)o1,nM,6.57,269.0,IC50,nM,269.0
CHEMBL3640420,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(N)ccc3O)NC(=O)NC1=O)C2,nM,6.093,808.0,IC50,nM,808.0
CHEMBL3640421,COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3nc(-c4cccc(O)c4)ccc3OC)NC(=O)NC1=O)C2,nM,5.004,9906.0,IC50,nM,9906.0
